RESUMEN DE ACTIVIDADES,,,,,,,,,ARTISTAS PARTICIPANTES EXPOSICIONES,,,,PARTICIPANTES CHARLAS,,PARTICIPANTES EVENTOS VIRTUALES
,,,,,EXPOSICIONES ,,CHARLAS,,,,,,,,
NOMBRE,ACITIVADES,ASISTENTENTES,PARTICIPANTES,,285,,8,,,,,,,,
VIRTUALES,9,,30,,208,,8,,1,10,9,,1,,2
EXPOSICIONES,33,180257,313,,550,,12,,1,24,4,,4,,6
CHARLAS Y CONFERENCIAS,13,120,34,,326,,11,,1,1,9,,3,,15
TOTALES,55,180377,377,,165000,,15,,1,25,,,1,,1
,,,,,210,,5,,1,9,,,4,,1
INSTITUCIONES UADY,8,VIRTUALES,,,60,,8,,1,1,,,4,,2
MUSEOS,2,1,,,625,,10,,1,3,,,2,,1
ESPACIOS ALTERNATIVOS,1,2,,,230,,9,,17,10,,,3,,1
UNIVERSIDADES,2,3,,,205,,7,,3,1,,,2,,1
TOTALES,13,6,19,,1150,,12,,8,1,,,4,,30
,,,,,3100,,9,,2,1,,,2,,
NOMBRES DE INSTITUCIONES UADY,,ESPACIOS ALTERNATIVOS,,,2643,,6,,44,31,,,2,,
Vestíbulo del Auditorio MCP-CCU,,Aeropuerto Internacional de Mérida,,,2643,,120,,1,1,,,2,,
"Campus de Arquitectura, Hábitat, Arte y Diseño CAHAD Corredores del Claustro",,,,,2643,,,,1,1,,,34,,
Facultad de Contaduría,,,,,379,,,,88,1,,,,,
"Campus de Arquitectura, Hábitat, Arte y Diseño CAHAD Galería de la Biblioteca",,MUSEOS,,,180257,,,,171,120,22,313,,,
Galería del Teatro FCP-CCU,,Museo de la  Ciudad del Ayuntamiento de  Mérida,,,,,,,,,,,,,
Centro Cultural Universitario (vestíbulo),,"Museo Regional de Antropología e Historia ""Palacio Cantón"" (Acera del Paseo de Montejo)",,,,,,,UNIVERSIDADES,,,,,,
Centro Cultural Universitario (Ex Salón del Consejo Universitario),,,,,,,,,Universidad de las Artes de Yucatán (Galería José Luis Rodrigue de Armas),,,,,,
"Campus de Arquitectura, Hábitat, Arte y Diseño CAHAD Auditorio de la Biblioteca",,,,,,,,,,,,,,,
,,,,,,,,,Universidad Modelo,,,,,,
VIRTUALES,,,,,,,,,,,,,,,
Facultad de Artes Visuales de la Universidad de las Artes de Cuba,,,,,,,,,,,,,,,
ISA,,,,,,,,,,,,,,,
YUCUNET,,,,,,,,,,,,,,,
Museo Comunitario Itzmal Kauil,,,,,,,,,,,,,,,
Impulso Universitario AC,,,,,,,,,,,,,,,
Biblioteca Yucatanense /SEDECULTA,,,,,,,,,,,,,,,
