,,,,,,,,,
COORDINACIÓN GENERAL DE CONTENIDOS,,,,,,,,,
"SALÓN CHICHÉN ITZÁ, SALA ANTONIA JIMÉNEZ TRAVA",,,,,,,,,
Horario,Sábado 13,Domingo 14,Lunes 15,Martes 16,Miercoles 17,Jueves 18,Viernes 19,Sábado 20,Domingo 21
,,,,,,,,,
10:30 - 11:30,,,,,,,,Taller                      Poesía no Poesía        Hernán Bravo Varela FILEY-UADY                     10:30 - 12:30,Taller                      Poesía no Poesía        Hernán Bravo Varela FILEY-UADY                     10:30 - 12:30
11:45 - 12:45,,,,,,,,,
13:00 - 14:00,,,,,,,,,
14:15 - 16:00,RECESO,,,,,,,,
16:30 - 17:30,,,,,,,,XVIII                                                                 Congreso Internacional de Literatura            UC-Mexicanistas 16:00 a 21:00 horas,
17:45 - 18:45,,,,,,,,,
19:00 - 20:00,,,,,,,,,
,,,,,,,,,
